iter	Accuracy	Logloss
0	0.7888984757	0.6931396514
1	0.7981018119	0.6931329154
2	0.8009778545	0.6931259984
3	0.8045729077	0.6931181266
4	0.8090307737	0.6931105823
5	0.8062985332	0.6931040859
6	0.8064423353	0.6930972544
7	0.8087431694	0.6930899434
8	0.8098935864	0.6930828227
9	0.8107563992	0.6930759413
10	0.8093183779	0.6930683007
11	0.8103249928	0.6930597711
12	0.8111878056	0.6930517888
13	0.8117630141	0.6930450444
14	0.8121944205	0.6930383033
15	0.8109002013	0.6930309249
16	0.8113316077	0.6930227593
17	0.8110440035	0.6930146708
18	0.8106125971	0.6930065017
19	0.8096059822	0.6929995642
20	0.8126258269	0.6929919893
21	0.8121944205	0.6929850484
22	0.8100373886	0.692978652
23	0.8091745758	0.6929714226
24	0.8106125971	0.6929631129
25	0.8101811907	0.6929564297
26	0.8101811907	0.6929484533
27	0.8114754098	0.692940716
28	0.8110440035	0.6929340545
29	0.8109002013	0.6929267729
30	0.8119068162	0.692920022
31	0.8113316077	0.6929134535
32	0.8110440035	0.6929056413
33	0.8114754098	0.6928984706
34	0.8111878056	0.6928916198
35	0.8113316077	0.6928834244
36	0.8110440035	0.692876966
37	0.8100373886	0.6928687473
38	0.8109002013	0.6928618048
39	0.8110440035	0.6928537329
40	0.8109002013	0.6928477447
41	0.8096059822	0.6928401501
42	0.8113316077	0.6928315974
43	0.8113316077	0.6928252089
44	0.8110440035	0.6928182349
45	0.8106125971	0.6928100548
46	0.8109002013	0.692803619
47	0.8106125971	0.6927971897
48	0.8110440035	0.692790046
49	0.8113316077	0.6927831621
50	0.8111878056	0.6927763196
51	0.8111878056	0.6927691364
52	0.8117630141	0.6927628608
53	0.8114754098	0.6927547639
54	0.8117630141	0.6927469585
55	0.8117630141	0.6927395206
56	0.8117630141	0.6927325999
57	0.8120506183	0.6927251246
58	0.8124820247	0.6927176256
59	0.812769629	0.6927110602
60	0.8129134311	0.6927040512
61	0.8129134311	0.6926957259
62	0.8136324418	0.6926889452
63	0.8134886396	0.6926804173
64	0.8133448375	0.6926734872
65	0.8124820247	0.6926679251
66	0.8129134311	0.692662223
67	0.8124820247	0.6926537204
68	0.8126258269	0.6926468823
69	0.8124820247	0.6926396434
70	0.812769629	0.6926314583
71	0.8129134311	0.6926244566
72	0.8130572332	0.6926181946
73	0.8130572332	0.6926119731
74	0.8126258269	0.6926051313
75	0.812769629	0.6925970418
76	0.812769629	0.6925895383
77	0.8124820247	0.6925811971
78	0.8126258269	0.6925743447
79	0.8120506183	0.6925675052
80	0.8120506183	0.6925606448
81	0.8114754098	0.6925535771
82	0.811619212	0.6925466363
83	0.8111878056	0.6925386644
84	0.811619212	0.6925321035
85	0.8113316077	0.6925250304
86	0.8111878056	0.6925185609
87	0.8111878056	0.6925119307
88	0.8111878056	0.6925048429
89	0.8117630141	0.6924979365
90	0.8119068162	0.6924894242
91	0.8117630141	0.692482084
92	0.8113316077	0.6924753892
93	0.8110440035	0.6924680614
94	0.8107563992	0.6924607401
95	0.8110440035	0.6924535153
96	0.8114754098	0.6924453097
97	0.811619212	0.692438016
98	0.8113316077	0.6924310468
99	0.8111878056	0.6924236636
100	0.8114754098	0.6924169569
101	0.8117630141	0.692410712
102	0.8117630141	0.6924042352
103	0.811619212	0.6923966334
104	0.811619212	0.6923896356
105	0.8114754098	0.6923822048
106	0.8114754098	0.692374706
107	0.8113316077	0.692367444
108	0.8114754098	0.6923607301
109	0.8113316077	0.6923527878
110	0.8107563992	0.6923453452
111	0.8109002013	0.6923391155
112	0.8106125971	0.6923311583
113	0.8106125971	0.6923234384
114	0.8107563992	0.6923176445
115	0.8103249928	0.6923109379
116	0.8104687949	0.6923030404
117	0.8106125971	0.6922958019
118	0.8104687949	0.6922890944
119	0.8106125971	0.692282259
120	0.8106125971	0.6922755299
121	0.8107563992	0.6922694344
122	0.8110440035	0.6922613207
123	0.8110440035	0.6922536393
124	0.8107563992	0.6922472815
125	0.8107563992	0.6922406052
126	0.8113316077	0.6922331192
127	0.8110440035	0.6922261564
128	0.8110440035	0.6922200152
129	0.8107563992	0.6922124899
130	0.8111878056	0.6922054879
131	0.8107563992	0.6921966407
132	0.8109002013	0.6921890454
133	0.8114754098	0.6921817107
134	0.8117630141	0.6921743162
135	0.8117630141	0.6921670805
136	0.8114754098	0.692160038
137	0.8119068162	0.6921532009
138	0.8114754098	0.6921448867
139	0.8117630141	0.6921372939
140	0.8113316077	0.6921305349
141	0.8114754098	0.6921224114
142	0.8111878056	0.6921139926
143	0.8113316077	0.6921068372
144	0.8111878056	0.6921002539
145	0.8113316077	0.6920929621
146	0.8113316077	0.6920855895
147	0.8113316077	0.6920777785
148	0.8114754098	0.6920710181
149	0.8113316077	0.69206349
