iter	Passed	Remaining
0	197	148601
1	380	142740
2	578	144547
3	751	140490
4	943	140975
5	1139	141732
6	1339	142603
7	1539	143130
8	1735	143244
9	1921	142576
10	2102	141638
11	2300	141842
12	2496	141891
13	2694	142029
14	2886	141805
15	3077	141552
16	3274	141562
17	3456	140961
18	3652	140916
19	3836	140412
20	4030	140298
21	4228	140299
22	4245	134549
23	4421	134121
24	4618	134301
25	4812	134367
26	4997	134181
27	5191	134233
28	5377	134054
29	5573	134133
30	5771	134232
31	5962	134162
32	6159	134195
33	6351	134136
34	6551	134219
35	6746	134189
36	6932	133957
37	7122	133827
38	7318	133791
39	7491	133355
40	7691	133386
41	7887	133329
42	8082	133263
43	8274	133150
44	8460	132925
45	8656	132863
46	8852	132791
47	9048	132705
48	9243	132619
49	9425	132336
50	9621	132244
51	9818	132172
52	10004	131950
53	10196	131805
54	10385	131608
55	10586	131569
56	10783	131484
57	10981	131396
58	11161	131101
59	11355	130968
60	11549	130827
61	11742	130685
62	11941	130602
63	12125	130352
64	12316	130173
65	12321	128070
66	12324	126007
67	12512	125861
68	12705	125770
69	12900	125683
70	13084	125504
71	13279	125417
72	13467	125268
73	13484	123545
74	13678	123473
75	13874	123409
76	14072	123363
77	14267	123282
78	14449	123094
79	14646	123027
80	14840	122935
81	15034	122841
82	15212	122613
83	15397	122447
84	15595	122377
85	15793	122310
86	15991	122230
87	16174	122046
88	16363	121896
89	16562	121825
90	16759	121736
91	16956	121645
92	17151	121536
93	17335	121350
94	17534	121262
95	17731	121164
96	17927	121057
97	18129	120984
98	18314	120803
99	18500	120624
100	18698	120519
101	18894	120404
102	19089	120280
103	19267	120051
104	19453	119869
105	19649	119750
106	19845	119627
107	20040	119499
108	20233	119359
109	20421	119187
110	20617	119063
111	20811	118924
112	21012	118821
113	21207	118686
114	21223	117557
115	21391	117283
116	21584	117148
117	21787	117063
118	21987	116960
119	22183	116833
120	22350	116553
121	22546	116428
122	22742	116303
123	22938	116173
124	23138	116061
125	23330	115913
126	23519	115746
127	23715	115611
128	23807	114979
129	24000	114834
130	24197	114706
131	24395	114585
132	24576	114380
133	24773	114255
134	24969	114118
135	25163	113977
136	25346	113782
137	25531	113596
138	25728	113466
139	25922	113319
140	26122	113195
141	26319	113063
142	26490	112816
143	26684	112669
144	26878	112520
145	27077	112391
146	27274	112250
147	27462	112076
148	27651	111904
149	27847	111762
150	28045	111622
151	28243	111488
152	28440	111345
153	28623	111149
154	28821	111011
155	29018	110864
156	29210	110701
157	29396	110514
158	29584	110335
159	29778	110181
160	29975	110035
161	30170	109880
162	30363	109719
163	30563	109581
164	30748	109389
165	30945	109240
166	31139	109082
167	31330	108911
168	31528	108762
169	31711	108564
170	31754	107890
171	31949	107737
172	32145	107584
173	32334	107408
174	32525	107240
175	32713	107062
176	32907	106903
177	33103	106750
178	33109	105985
179	33306	105841
180	33491	105656
181	33676	105470
182	33682	104727
183	33875	104573
184	34076	104438
185	34272	104290
186	34451	104090
187	34650	103952
188	34843	103791
189	35038	103640
190	35238	103500
191	35428	103332
192	35630	103199
193	35821	103033
194	36007	102851
195	36022	102185
196	36210	102013
197	36385	101805
198	36574	101637
199	36577	100953
200	36749	100741
201	36751	100067
202	36938	99897
203	37125	99730
204	37315	99567
205	37490	99366
206	37695	99247
207	37875	99059
208	38077	98928
209	38270	98774
210	38451	98588
211	38641	98425
212	38818	98231
213	39007	98066
214	39195	97898
215	39366	97687
216	39553	97517
217	39739	97343
218	39929	97179
219	40113	97001
220	40302	96835
221	40479	96641
222	40672	96483
223	40859	96311
224	41052	96154
225	41242	95989
226	41429	95817
227	41619	95652
228	41810	95488
229	41985	95289
230	42173	95119
231	42367	94961
232	42554	94788
